site,cropp,time,response,SE,df,lower.CL,upper.CL,.group,year,plant,location,planting,crop,gender,height,weight,planting1,doyp,harvest,doyh,dap
,,,,,,,,,2018,3,clay center,July,soybean,m,,100,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,4,clay center,July,soybean,m,,90,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,5,clay center,July,soybean,f,,85,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,6,clay center,July,soybean,f,,66,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,7,clay center,July,soybean,m,,85,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,8,clay center,July,soybean,f,,130,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,9,clay center,July,soybean,f,,120,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,10,clay center,July,soybean,f,,117,1-Jul,182,7/25/18,206,24
,,,,,,,,,2018,11,clay center,July,soybean,f,,115,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,12,clay center,July,soybean,m,,100,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,13,clay center,July,soybean,m,,120,1-Jul,182,5-Aug,217,35
,,,,,,,,,2018,14,clay center,July,soybean,f,,130,1-Jul,182,5-Aug,217,35
,,,,,,,,,2018,15,clay center,July,soybean,m,,140,1-Jul,182,8/18/18,230,48
,,,,,,,,,2018,16,clay center,July,soybean,,,,,,,,
,,,,,,,,,2018,17,clay center,July,soybean,f,,50,1-Jul,182,6/18/18,169,-13
,,,,,,,,,2018,18,clay center,July,soybean,m,,60,1-Jul,182,6/18/18,169,-13
,,,,,,,,,2018,19,clay center,July,soybean,f,,90,1-Jul,182,6/18/18,169,-13
,,,,,,,,,2018,20,clay center,July,soybean,m,,85,1-Jul,182,6/18/18,169,-13
,,,,,,,,,2018,21,clay center,July,soybean,f,,87,1-Jul,182,6/18/18,169,-13
,,,,,,,,,2018,22,clay center,July,soybean,m,,100,1-Jul,182,6/18/18,169,-13
,,,,,,,,,2018,23,clay center,July,soybean,f,,110,1-Jul,182,9/4/18,247,65
,,,,,,,,,2018,24,clay center,July,soybean,m,,85,1-Jul,182,9/4/18,247,65
,,,,,,,,,2018,1,grant,June ,fallow,f,,72.89,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,2,grant,June ,fallow,f,,62.25,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,3,grant,June ,fallow,f,,166.1,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,4,grant,June ,fallow,f,,96.37,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,5,grant,June ,fallow,m,,25.45,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,6,grant,June ,fallow,f,,142.41,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,7,grant,June ,fallow,m,,66.88,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,8,grant,June ,fallow,m,,187.89,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,9,grant,June ,fallow,f,,209.91,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,10,grant,June ,fallow,m,,78.54,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,11,grant,June ,fallow,f,,241.97,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,12,grant,June ,fallow,m,,110.23,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,13,grant,June ,fallow,f,,71.53,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,14,grant,June ,fallow,m,,156.61,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,15,grant,June ,fallow,m,,181.51,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,16,grant,June ,fallow,f,,39.1,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,17,grant,June ,fallow,m,,65.74,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,18,grant,June ,fallow,f,,19.39,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,19,grant,June ,fallow,f,,53.86,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,20,grant,June ,fallow,f,,75.57,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,21,grant,June ,fallow,f,,127.41,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,22,grant,June ,fallow,m,,21.15,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,23,grant,June ,fallow,f,,77.87,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,24,grant,June ,fallow,f,,50.94,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,1,grant,July,fallow,f,63,324.85,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,2,grant,July,fallow,f,57,244.18,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,3,grant,July,fallow,m,78,316.67,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,4,grant,July,fallow,m,83,305.63,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,5,grant,July,fallow,m,61,137.59,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,6,grant,July,fallow,m,63,232.29,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,7,grant,July,fallow,f,38,142.87,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,8,grant,July,fallow,f,76,248.84,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,9,grant,July,fallow,m,67,148.22,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,10,grant,July,fallow,f,50,139.89,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,11,grant,July,fallow,m,85,347.27,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,12,grant,July,fallow,f,42,317.4,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,13,grant,July,fallow,f,67,377.53,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,14,grant,July,fallow,m,65,271.24,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,15,grant,July,fallow,m,74,158.77,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,16,grant,July,fallow,m,61,396.98,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,17,grant,July,fallow,m,57,306.11,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,18,grant,July,fallow,f,63,363.41,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,19,grant,July,fallow,m,59,417.2,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,20,grant,July,fallow,f,63,529.87,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,21,grant,July,fallow,m,50,178.33,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,22,grant,July,fallow,f,71,507.27,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,23,grant,July,fallow,m,71,436,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,24,grant,July,fallow,f,64,326.14,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,1,grant,June ,corn,m,58,33.34,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,2,grant,June ,corn,f,53,49.43,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,3,grant,June ,corn,m,54,59.26,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,4,grant,June ,corn,m,38,9.02,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,5,grant,June ,corn,m,39,21.1,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,6,grant,June ,corn,f,65,51.45,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,7,grant,June ,corn,f,55,48.18,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,8,grant,June ,corn,m,53,8.76,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,9,grant,June ,corn,m,56,14.89,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,10,grant,June ,corn,m,72,35.16,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,11,grant,June ,corn,f,62,73.98,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,12,grant,June ,corn,m,61,77.84,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,13,grant,June ,corn,m,64,34.42,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,14,grant,June ,corn,m,61,26.63,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,15,grant,June ,corn,m,56,36.52,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,16,grant,June ,corn,m,70,37.71,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,17,grant,June ,corn,m,45,13.14,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,18,grant,June ,corn,m,53,22.29,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,19,grant,June ,corn,f,64,39.88,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,20,grant,June ,corn,f,53,10.61,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,21,grant,June ,corn,m,58,18.36,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,22,grant,June ,corn,m,58,15.08,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,23,grant,June ,corn,f,62,48.36,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,24,grant,June ,corn,f,62,39.47,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,1,grant,July,corn,,10,0.14,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,2,grant,July,corn,m,15,1.44,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,3,grant,July,corn,m,22,1.35,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,4,grant,July,corn,f,26,3.06,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,5,grant,July,corn,f,8,0.87,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,6,grant,July,corn,f,15,1.47,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,7,grant,July,corn,m,18,1.87,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,8,grant,July,corn,,7.5,0.82,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,9,grant,July,corn,m,9,1.03,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,10,grant,July,corn,m,21,1.56,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,11,grant,July,corn,m,19,1.9,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,12,grant,July,corn,,6,0.58,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,13,grant,July,corn,,20,1.43,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,14,grant,July,corn,,18,1.05,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,15,grant,July,corn,f,28,2.27,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,16,grant,July,corn,m,23,0.93,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,17,grant,July,corn,m,18,1.17,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,18,grant,July,corn,m,22,1.87,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,19,grant,July,corn,,4.5,0.27,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,20,grant,July,corn,,3,0.31,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,21,grant,July,corn,,9,0.78,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,22,grant,July,corn,f,20.5,1.33,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,23,grant,July,corn,f,27,2.05,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,24,grant,July,corn,,4,0.47,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,1,grant,June ,soybean,m,31,18.23,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,2,grant,June ,soybean,m,36,110.07,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,3,grant,June ,soybean,f,44,45.74,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,4,grant,June ,soybean,f,55,181.13,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,5,grant,June ,soybean,f,37,46.4,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,6,grant,June ,soybean,f,35,25.46,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,7,grant,June ,soybean,m,32,17.68,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,8,grant,June ,soybean,m,26,12.51,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,9,grant,June ,soybean,m,29,42.08,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,10,grant,June ,soybean,m,25,4.01,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,11,grant,June ,soybean,f,47,149.93,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,12,grant,June ,soybean,m,41,114.21,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,13,grant,June ,soybean,f,44,87.91,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,14,grant,June ,soybean,m,22,19.25,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,15,grant,June ,soybean,f,45,50.98,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,16,grant,June ,soybean,m,22,8.28,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,17,grant,June ,soybean,f,58,167.12,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,18,grant,June ,soybean,m,38,88.71,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,19,grant,June ,soybean,m,45,134.42,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,20,grant,June ,soybean,f,43,25.34,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,21,grant,June ,soybean,m,38,44.83,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,22,grant,June ,soybean,f,54,116.9,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,23,grant,June ,soybean,m,42,74.29,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,24,grant,June ,soybean,f,46,173.74,6/1/18,152,7/6/18,187,35
,,,,,,,,,2018,1,grant,July,soybean,m,71,128.9,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,2,grant,July,soybean,m,71,27.22,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,3,grant,July,soybean,m,76,219.38,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,4,grant,July,soybean,m,76,209.89,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,5,grant,July,soybean,f,74,115.42,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,6,grant,July,soybean,m,66,134.83,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,7,grant,July,soybean,m,81,279.89,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,8,grant,July,soybean,m,53,88.95,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,9,grant,July,soybean,f,78,301.39,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,10,grant,July,soybean,f,57,144.46,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,11,grant,July,soybean,m,78,350.05,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,12,grant,July,soybean,m,52,80.63,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,13,grant,July,soybean,m,53,73.9,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,14,grant,July,soybean,f,75,108.64,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,15,grant,July,soybean,m,59,140.27,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,16,grant,July,soybean,f,70,221.94,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,17,grant,July,soybean,f,54,195.49,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,18,grant,July,soybean,m,60,233.27,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,19,grant,July,soybean,m,89,118.63,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,20,grant,July,soybean,f,83,337.08,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,21,grant,July,soybean,f,78,152.71,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,22,grant,July,soybean,f,77,148.79,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,23,grant,July,soybean,m,48,336.36,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,24,grant,July,soybean,f,73,260.34,7/1/18,182,8/17/18,229,47
,,,,,,,,,2018,1,havelock,June ,fallow,m,86,303.1,6/1/18,152,6/25/18,176,24
,,,,,,,,,2018,2,havelock,June ,fallow,m,90,75.7,6/1/18,152,6/25/18,176,24
,,,,,,,,,2018,3,havelock,June ,fallow,f,120,75.8,6/1/18,152,7/9/18,190,38
,,,,,,,,,2018,4,havelock,June ,fallow,m,98,113.4,6/1/18,152,7/9/18,190,38
,,,,,,,,,2018,5,havelock,June ,fallow,f,118,353.3,6/1/18,152,7/9/18,190,38
,,,,,,,,,2018,6,havelock,June ,fallow,m,103,183.3,6/1/18,152,7/9/18,190,38
,,,,,,,,,2018,7,havelock,June ,fallow,m,168,287.5,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,8,havelock,June ,fallow,f,104,272.4,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,9,havelock,June ,fallow,m,131,254.5,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,10,havelock,June ,fallow,m,73,79.9,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,11,havelock,June ,fallow,m,90,171.5,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,12,havelock,June ,fallow,m,93,117.4,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,13,havelock,June ,fallow,m,159,704.4,6/1/18,152,8/6/18,218,66
,,,,,,,,,2018,14,havelock,June ,fallow,f,173,444,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,15,havelock,June ,fallow,m,117,427.5,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,16,havelock,June ,fallow,f,117,132.6,6/1/18,152,7/23/18,204,52
,,,,,,,,,2018,17,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,18,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,19,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,20,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,21,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,22,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,23,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,24,havelock,June ,fallow,,,,,,,,
,,,,,,,,,2018,1,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,2,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,3,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,4,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,5,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,6,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,7,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,8,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,9,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,10,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,11,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,12,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,13,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,14,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,15,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,16,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,17,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,18,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,19,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,20,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,21,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,22,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,23,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,24,havelock,July,fallow,,,,,,,,
,,,,,,,,,2018,1,havelock,June ,corn,m,77,1.9,6/1/18,152,8/6/18,218,66
,,,,,,,,,2018,2,havelock,June ,corn,f,47,1.1,6/1/18,152,8/6/18,218,66
,,,,,,,,,2018,3,havelock,June ,corn,f,57,1.2,6/1/18,152,8/6/18,218,66
,,,,,,,,,2018,4,havelock,June ,corn,m,100,2.4,6/1/18,152,8/6/18,218,66
,,,,,,,,,2018,5,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,6,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,7,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,8,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,9,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,10,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,11,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,12,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,13,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,14,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,15,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,16,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,17,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,18,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,19,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,20,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,21,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,22,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,23,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,24,havelock,June ,corn,,,,,,,,
,,,,,,,,,2018,1,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,2,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,3,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,4,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,5,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,6,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,7,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,8,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,9,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,10,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,11,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,12,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,13,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,14,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,15,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,16,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,17,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,18,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,19,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,20,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,21,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,22,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,23,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,24,havelock,July,corn,,,,,,,,
,,,,,,,,,2018,1,havelock,June ,soybean,f,141,39.4,6/1/18,152,7/9/18,190,38
,,,,,,,,,2018,2,havelock,June ,soybean,f,121,41.4,6/1/18,152,7/9/18,190,38
,,,,,,,,,2018,3,havelock,June ,soybean,m,103,34.7,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,4,havelock,June ,soybean,m,94,47.3,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,5,havelock,June ,soybean,f,79,10.1,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,6,havelock,June ,soybean,m,131,31.3,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,7,havelock,June ,soybean,m,172,60.9,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,8,havelock,June ,soybean,f,122,14.5,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,9,havelock,June ,soybean,f,161,51.9,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,10,havelock,June ,soybean,f,128,115.3,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,11,havelock,June ,soybean,f,98,12.9,6/1/18,152,7/23/18,204,52
,,,,,,,,,2018,12,havelock,June ,soybean,m,98,26.8,6/1/18,152,7/23/18,204,52
,,,,,,,,,2018,13,havelock,June ,soybean,m,183,119.1,6/1/18,152,7/30/18,211,59
,,,,,,,,,2018,14,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,15,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,16,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,17,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,18,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,19,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,20,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,21,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,22,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,23,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,24,havelock,June ,soybean,,,,,,,,
,,,,,,,,,2018,1,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,2,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,3,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,4,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,5,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,6,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,7,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,8,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,9,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,10,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,11,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,12,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,13,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,14,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,15,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,16,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,17,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,18,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,19,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,20,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,21,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,22,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,23,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,24,havelock,July,soybean,,,,,,,,
,,,,,,,,,2018,1,macomb,June ,fallow,m,64,66.8,6/1/18,152,7/3/18,184,32
,,,,,,,,,2018,2,macomb,June ,fallow,f,129.5,453.6,6/1/18,152,7/13/18,194,42
,,,,,,,,,2018,3,macomb,June ,fallow,f,69,110.4,6/1/18,152,7/5/18,186,34
,,,,,,,,,2018,4,macomb,June ,fallow,m,117.5,303.4,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,5,macomb,June ,fallow,f,144,938.7,6/1/18,152,7/17/18,198,46
,,,,,,,,,2018,6,macomb,June ,fallow,f,40,12.7,6/1/18,152,6/30/18,181,29
,,,,,,,,,2018,7,macomb,June ,fallow,m,143.5,327.5,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,8,macomb,June ,fallow,f,81,217.2,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,9,macomb,June ,fallow,f,105.2,249.3,6/1/18,152,7/16/18,197,45
,,,,,,,,,2018,10,macomb,June ,fallow,m,62,53.3,6/1/18,152,7/3/18,184,32
,,,,,,,,,2018,11,macomb,June ,fallow,m,117.5,295.1,6/1/18,152,7/13/18,194,42
,,,,,,,,,2018,12,macomb,June ,fallow,f,121,333.3,6/1/18,152,7/17/18,198,46
